"Wind_direction","Humidity","Pressure ","Temperature"
"83.1","50.8","883.6","-4.6"
"81.5","51.1","885.5","-4.6"
"81.3","50.9","888","-4.2"
"82.5","50.7","891.3","-3.9"
"84.7","50.4","894.7","-3.3"
"82.8","49.3","897.2","-2.6"
"92.6","48.7","899.9","-2.2"
"92.4","49.9","902","-1.9"
"88.9","48.6","904.5","-1.5"
"97.2","49.6","907.5","-1.3"
"90","49.2","915.1","-0.8"
"85","48.9","925.2","-0.5"
"97.2","49.6","935","-0.6"
"97.5","50.2","934.6","-0.5"
"96.4","50.3","934","-0.1"
"93.6","50.5","933.9","-0.1"
"88.7","47.8","933.5","0.1"
"95","47.9","934.2","0.3"
"81.2","46.9","933.1","0.6"
"72.8","46.2","933.7","0.3"
"82.5","44.9","932.8","0.9"
"80.8","44.2","933.4","1"
"81.3","43.2","933.9","1"
"75.4","43.4","900.4","0.9"
"89.6","43.4","897.4","0.9"
"82.6","43.1","895.6","0.8"
"102.4","42.6","895.5","0.8"
"98.1","42.6","893.8","0.8"
"84.5","42.8","892.5","0.6"
"86.2","42.8","891.6","0.5"
"89.2","42.9","891","0.3"
"93.7","42.9","890.4","0.1"
"84.2","43.5","889.8","-0.1"
"91.8","44.7","889.3","-0.4"
"94.5","45.3","889","-0.6"
